Algorithm,Data Type,Data Variation,size,operations,Start Time,End Time,Elapsed,MaxValue
COUNTING,integer,random Large,10,400000029,120679213810800,120688493484800,9279674,100000
COUNTING,integer,random Large,50,400000149,120688541304200,120701627451300,13086147,100000
COUNTING,integer,random Large,100,400000299,120701629633400,120713265381000,11635747,100000
COUNTING,integer,random Large,500,400001499,120713279921900,120733376127600,20096205,100000
COUNTING,integer,random Large,1000,400002999,120733409368100,120745479985600,12070617,100000
COUNTING,integer,random Large,5000,400014999,120745502991300,120758948723400,13445732,100000
COUNTING,integer,random Large,10000,400029999,120759081058600,120771497424300,12416365,100000
COUNTING,integer,random Large,50000,400149999,120771737881100,120783343340400,11605459,100000
COUNTING,integer,random Large,75000,400224999,120784478723100,120795805795400,11327072,100000
COUNTING,integer,random Large,100000,400299999,120797047320200,120808015420900,10968100,100000
Algorithm,Data Type,Data Variation,size,operations,Start Time,End Time,Elapsed,MaxValue
RADIX,integer,random Large,10,294,120809752018400,120809764117900,12099,100000
RADIX,integer,random Large,50,1014,120809764843900,120809765571000,727,100000
RADIX,integer,random Large,100,1914,120809765748800,120809766769600,1020,100000
RADIX,integer,random Large,500,9114,120809767125300,120809770997600,3872,100000
RADIX,integer,random Large,1000,18114,120809870978000,120809877712900,6734,100000
RADIX,integer,random Large,5000,90114,120809891029100,120809926743000,35713,100000
RADIX,integer,random Large,10000,180114,120810158441700,120810170249800,11808,100000
RADIX,integer,random Large,50000,900114,120810354461100,120810425976600,71515,100000
RADIX,integer,random Large,75000,1350114,120811407067400,120811804280500,397213,100000
RADIX,integer,random Large,100000,1800114,120812833034600,120812950893400,117858,100000
